Gender,Country,Age,Program,Semester,Cgpa,ProgramName,CourseName,Gpa,FailingReason,DifficultyLevel,LMAttendingLectures,LMAttendingExcercises,LMOnlineStudy,LMGroupStudy,AttendingLecturesNotHelpful,AttendingLecturesHelpful,LecturesParticipation,ExcerciseParticipation,CourseBeingHelpful,Comments
Female,Iran,33,Masters,2,3,M.Sc. Computer Engineering (Interactive Systems and Visualization),,3,Delivered content in the lecture was not helpful to pass,5,50%,25%,0%,25%,Teaching method was not good,Content delivered was interesting,50%,50%,Yes,
Female,Iran,30,Masters,2,2.5,M.Sc. Computer Engineering (Intelligent Networked Systems),,2.7,,5,50%,25%,50%,25%,,,50%,50%,Yes,
Male,Iran,,Masters,4,2.3,M.Sc. Computer Engineering (Intelligent Networked Systems),,5,,9,50%,75%,25%,50%,Didn't make any difference to attend the classes,,50%,75%,Yes,
Male,Turkey,22,Masters,3,2.2,M.Sc. Computer Engineering (Intelligent Networked Systems),,4,Delivered content in the lecture was not helpful to pass,9,100%,100%,100%,0%,Didn't make any difference to attend the classes;Teaching method was not good,,100%,100%,No,
Male,Turkey,25,Masters,4,2.8,M.Sc. Computer Engineering (Intelligent Networked Systems),,3.8,Delivered content in the lecture was not helpful to pass,8,100%,100%,100%,0%,Didn't make any difference to attend the classes;Teaching method was not good;Content delivered was outdated or not interesting,,100%,100%,Maybe,
Male,Malaysia,21,Bachelors,4,2.7,B.Sc. Computer Engineering (Software Engineering),Mathematics I2,,,,,,,,,,,,,
Male,India,25,Masters,3,1.45,M.Sc. Computational Mechanics,,1.0,,5,100%,100%,50%,25%,,Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting,100%,100%,Yes,
Male,China,23,Bachelors,5,2.4,B.Sc. Computer Engineering (Software Engineering),Design Theory 2,,,,,,,,,,,,,
Male,China,25,Masters,3,2,M.Sc. Embedded Systems Engineering,,1.3,,5,50%,25%,25%,0%,,Content was well-defined and well-structured in order to pass the course;Class environment was encouraging and cooperative,75%,75%,Maybe,
Female,Malaysia,22,Bachelors,5,1,B.Sc. Computer Engineering (Software Engineering),Softwaretechnik,,,,,,,,,,,,,
Male,China,25,Masters,4,3,M.Sc. Automation and Control Engineering,,2,Personal problems,6,25%,50%,50%,50%,Content delivered was outdated or not interesting,Content was well-defined and well-structured in order to pass the course,50%,50%,Yes,
Male,India,25,Masters,3,1.45,M.Sc. Computational Mechanics,,2.7,,9,25%,50%,75%,75%,Didn't make any difference to attend the classes;Teaching method was not good;Content delivered was outdated or not interesting,,100%,100%,Maybe,"And this is not only my opinion but as far as this exam was concerned, the exam had topic which were never clearly discussed in the exercise. No motivation was given. And lectures were practically useless."
Male,India,23,Masters,3,2.0,M.Sc. Mechanical Engineering (Mechatronics),,2.3,,7,25%,100%,100%,50%,,Content delivered was interesting,100%,100%,Yes,Language problem
Male,China,25,Masters,5,3.0,M.Sc. Mechanical Engineering (Energy and Environmental Engineering),,3.7,Delivered content in the lecture was not helpful to pass,6,100%,100%,0%,0%,Didn't make any difference to attend the classes;Teaching method was not good,,100%,100%,Yes,The professor's teaching method is very bad.
Male,China,21,Bachelors,5,2.2,B.Sc. Computer Engineering (Software Engineering),Computer Based Engineering Mathematics,,,,,,,,,,,,,
Male,Egypt,24,Bachelors,4,2.1,B.Sc. Computer Engineering (Software Engineering),Betriebssysteme,,,,,,,,,,,,,
Female,Iran,28,Masters,3,2,M.Sc. Computer Engineering (Intelligent Networked Systems),,4,,7,50%,100%,75%,25%,Class environment was not encouraging and cooperative,,50%,100%,Yes,I enjoyed the exercise class and I learned a lot.
Male,Pakistan,23,Masters,1,2,M.Sc. Mechanical Engineering (Energy and Environmental Engineering),,2.7,,5,100%,100%,0%,50%,,Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting;Class environment was encouraging and cooperative,100%,100%,Yes,
Male,Germany,27,Masters,0,0,M.Sc. Power Engineering,,0,Personal problems,10,50%,25%,0%,50%,Teaching method was not good,Teaching methodology was interesting,75%,0%,Maybe,
Female,South Africa,25,Bachelors,6,2.03,B.Sc. Computer Engineering (Software Engineering),CAD (bzw. CAD/CAE),,,,,,,,,,,,,
Female,South Africa,25,Bachelors,6,2.03,B.Sc. Computer Engineering (Software Engineering),Softwaretechnik,,,,,,,,,,,,,
Male,Pakistan,27,Masters,2,2.0,M.Sc. Power Engineering,,3.7,,9,0%,75%,100%,100%,Teaching method was not good,Content delivered was interesting,25%,75%,Maybe,The course content is not available in English which makes it difficult for students to pass. Furthermore the content is not that elaborative to give a proper direction of study. The exercise and specially the seminars were of great help since Seminar was conducted in English which helped to understand the concepts alot.
Male,Pakistan,27,Masters,2,2.0,M.Sc. Power Engineering,,1.0,,6,75%,50%,75%,100%,,Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting;Content delivered was interesting;Class environment was encouraging and cooperative,100%,100%,Yes,The course content was very good and the Professor gave excellent lectures along with making the class interactive for students 
Male,Pakistan,27,Masters,2,2.0,M.Sc. Power Engineering,,1.0,,6,75%,50%,75%,100%,,Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting;Content delivered was interesting;Class environment was encouraging and cooperative,100%,100%,Yes,The course content was very good and the Professor gave excellent lectures along with making the class interactive for students 
Male,Brazil,26,Bachelors,1,0,B.Sc. Computer Engineering (Software Engineering),Mechanics I1,,,,,,,,,,,,,
Male,Jordan,25,Masters,3,1.4,M.Sc. Computer Engineering (Intelligent Networked Systems),,1.0,,2,100%,50%,50%,25%,,Content was well-defined and well-structured in order to pass the course;Teaching methodology was interesting,75%,50%;75%,No,
Female,Angola,20,Masters,2,2,M.Sc. Computational Mechanics,,3,,8,50%,75%,50%,50%,Teaching method was not good,Teaching methodology was interesting,50%,50%,Maybe,
Male,Algeria,21,Masters,1,0,M.Sc. Computer Engineering (Intelligent Networked Systems),,3.3,Didn't have enough time to study due to the job,3,50%,50%,50%,50%,,,50%,50%,No,
Female,Andorra,24,Masters,0,0,M.Sc. Embedded Systems Engineering,,3.7,Didn't have enough time to study due to the job,6,50%,25%,50%,50%,Students were over crowded,Content was well-defined and well-structured in order to pass the course,25%,25%,Yes,
Male,Germany,21,Bachelors,5,2.0,B.Sc. Computer Engineering (Software Engineering),Einführung in die Werkstoffe,,,,,,,,,,,,,
Female,China,25,Masters,5,3.0,M.Sc. Computer Engineering (Intelligent Networked Systems),,3,,8,100%,100%,50%,100%,,Content was well-defined and well-structured in order to pass the course,75%,50%,Yes,
Female,China,21,Bachelors,3,2.3,B.Sc. Computer Engineering (Software Engineering),Betriebssysteme,,,,,,,,,,,,,
Female,China,28,Masters,3,2.3,M.Sc. Computer Engineering (Intelligent Networked Systems),,5.0,Personal problems,8,25%,25%,25%,25%,Content delivered was outdated or not interesting,Content delivered was interesting,0%,0%,No,
